Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Month,Day,Hour,DayOfWeek
NARCOTICS,OTHER,True,False,734,7.0,17.0,67.0,2004,9,28,2,Tuesday
NARCOTICS,OTHER,True,False,735,7.0,17.0,67.0,2004,9,28,11,Tuesday
NARCOTICS,OTHER,True,False,715,7.0,15.0,67.0,2004,9,29,23,Wednesday
NARCOTICS,OTHER,True,False,713,7.0,16.0,67.0,2004,12,12,10,Sunday
NARCOTICS,OTHER,True,False,733,7.0,17.0,68.0,2004,12,19,4,Sunday
NARCOTICS,OTHER,True,False,731,7.0,6.0,69.0,2004,12,19,19,Sunday
NARCOTICS,OTHER,True,False,724,7.0,17.0,67.0,2004,10,8,21,Friday
NARCOTICS,OTHER,True,False,735,7.0,17.0,67.0,2004,10,8,22,Friday
NARCOTICS,OTHER,True,False,723,7.0,6.0,68.0,2004,10,14,23,Thursday
NARCOTICS,OTHER,True,False,726,7.0,17.0,67.0,2004,10,20,14,Wednesday
THEFT,RESIDENCE,False,False,2413,24.0,50.0,2.0,2004,12,29,0,Wednesday
NARCOTICS,OTHER,True,False,726,7.0,15.0,67.0,2004,12,20,21,Monday
NARCOTICS,OTHER,True,False,724,7.0,17.0,68.0,2004,12,22,23,Wednesday
NARCOTICS,OTHER,True,False,725,7.0,17.0,67.0,2004,12,26,21,Sunday
NARCOTICS,OTHER,True,False,714,7.0,15.0,67.0,2004,12,28,16,Tuesday
PROSTITUTION,OTHER,True,False,733,7.0,17.0,68.0,2004,12,29,3,Wednesday
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,False,935,9.0,3.0,37.0,2004,12,12,10,Sunday
THEFT,RESIDENCE,False,False,1411,14.0,33.0,21.0,2003,1,1,9,Wednesday
THEFT,RESIDENCE,False,False,1223,12.0,25.0,31.0,2002,9,7,0,Saturday
THEFT,RESIDENCE,False,False,921,9.0,11.0,61.0,2004,10,4,8,Monday
THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,1831,18.0,42.0,8.0,2003,12,10,0,Wednesday
THEFT,COMMERCIAL / BUSINESS OFFICE,True,False,122,1.0,42.0,32.0,2004,7,3,9,Saturday
THEFT,RESIDENCE,False,False,834,8.0,18.0,70.0,2002,2,1,0,Friday
THEFT,RESIDENCE,False,False,1013,10.0,22.0,30.0,2004,10,1,12,Friday
THEFT,APARTMENT,False,False,734,7.0,17.0,67.0,2003,1,1,9,Wednesday
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,False,713,7.0,16.0,67.0,2003,6,24,10,Tuesday
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,True,113,1.0,42.0,32.0,2003,6,22,0,Sunday
OFFENSE INVOLVING CHILDREN,APARTMENT,True,True,814,8.0,23.0,56.0,2002,4,1,12,Monday
THEFT,APARTMENT,False,False,914,9.0,12.0,58.0,2004,12,10,10,Friday
THEFT,STREET,False,False,821,8.0,14.0,58.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,321,3.0,5.0,42.0,2004,8,31,0,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,431,4.0,7.0,51.0,2004,1,2,0,Friday
THEFT,STREET,False,False,1133,11.0,24.0,27.0,2004,8,16,23,Monday
THEFT,RESIDENCE PORCH/HALLWAY,False,False,834,8.0,18.0,70.0,2004,4,1,10,Thursday
OTHER OFFENSE,HOTEL/MOTEL,False,False,122,1.0,42.0,32.0,2001,8,31,0,Friday
THEFT,RESIDENCE,False,False,1032,10.0,22.0,30.0,2004,11,1,9,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,2521,25.0,31.0,19.0,2001,3,1,9,Thursday
THEFT,OTHER,False,False,2515,25.0,31.0,19.0,2004,4,1,0,Thursday
THEFT,RESIDENCE,False,False,612,6.0,21.0,71.0,2003,7,1,9,Tuesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,932,9.0,16.0,61.0,2004,1,19,9,Monday
THEFT,RESIDENCE,False,False,522,5.0,34.0,53.0,2004,4,1,6,Thursday
THEFT,OTHER,False,False,1121,11.0,26.0,23.0,2004,1,1,9,Thursday
DECEPTIVE PRACTICE,BANK,False,True,921,9.0,3.0,61.0,2001,7,1,0,Sunday
OTHER OFFENSE,RESIDENCE,False,False,612,6.0,17.0,71.0,2002,8,1,12,Thursday
OTHER OFFENSE,RESIDENCE,False,False,1911,19.0,47.0,4.0,2004,7,13,12,Tuesday
WEAPONS VIOLATION,PARKING LOT/GARAGE(NON.RESID.),True,False,1031,10.0,22.0,30.0,2004,7,1,6,Thursday
THEFT,RESIDENCE,False,False,1634,16.0,38.0,15.0,2004,5,1,0,Saturday
THEFT,RESIDENCE,False,False,1411,14.0,35.0,21.0,2002,6,22,9,Saturday
THEFT,RESIDENCE,False,False,134,1.0,3.0,33.0,2001,7,1,0,Sunday
THEFT,APARTMENT,False,False,913,9.0,12.0,59.0,2004,12,20,9,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,523,5.0,9.0,53.0,2002,1,1,0,Tuesday
THEFT,RESIDENCE,False,False,623,6.0,6.0,44.0,2003,1,1,9,Wednesday
THEFT,RESIDENCE,False,False,1634,16.0,38.0,15.0,2004,12,1,0,Wednesday
OTHER OFFENSE,RESIDENCE,False,False,2123,2.0,4.0,39.0,2004,10,4,12,Monday
THEFT,WAREHOUSE,False,False,1031,10.0,22.0,30.0,2004,12,31,9,Friday
THEFT,RESIDENCE,False,False,223,2.0,3.0,38.0,2003,6,17,9,Tuesday
THEFT,RESIDENCE,False,False,1122,11.0,28.0,26.0,2004,1,4,12,Sunday
THEFT,RESIDENCE,False,False,1331,12.0,28.0,27.0,2003,3,28,9,Friday
DECEPTIVE PRACTICE,RESIDENCE,False,False,1111,11.0,37.0,23.0,2001,10,1,0,Monday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,2433,24.0,48.0,77.0,2004,12,19,8,Sunday
THEFT,OTHER,False,False,2221,22.0,21.0,71.0,2004,6,2,0,Wednesday
